sample_id,dataset,question,gold_answer,llm_response,score,correct,extracted_answer,parse_confidence,execution_time,input_tokens,output_tokens,total_tokens
0,trec_coarse,"In the above data, which of the labels is the most common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['abbreviation'],Label: abbreviation,1,TRUE,abbreviation,vhigh,76.89882541,693,1836,2529
1,trec_coarse,"In the above data, which of the labels is the least common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['location'],Label: location,1,TRUE,location,vhigh,87.52165818214417,693,2049,2742
2,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'entity'? Give your final answer in the form 'Answer: abbreviation is [X] entity', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is more common than entity,1,TRUE,more common,high,92.04434037208557,706,2373,3079
3,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: abbreviation is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is more common than human being,1,TRUE,more common,high,121.96948194503784,708,2559,3267
4,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: abbreviation is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is less common than numeric value,0,FALSE,less common,high,59.25743794441223,708,1435,2143
5,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: abbreviation is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as location,0,FALSE,same frequency,high,214.77770018577576,706,4688,5394
6,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: abbreviation is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is more common than description and abstract concept,1,TRUE,more common,high,63.878631830215454,712,1501,2213
7,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: entity is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is more common than human being,1,TRUE,more common,high,91.25157880783081,707,2189,2896
8,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: entity is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is more common than numeric value,1,TRUE,more common,high,76.14658999443054,707,1798,2505
9,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: entity is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is more common than location,1,TRUE,more common,high,101.34686803817749,705,2523,3228
10,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: entity is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['same frequency as'],Answer: entity is same frequency as description and abstract concept,1,TRUE,same frequency,high,32.34058904647827,711,800,1511
11,trec_coarse,"In the above data, is label 'human being' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: human being is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['same frequency as'],Answer: human being is same frequency as numeric value,1,TRUE,same frequency,high,40.61726689338684,709,1004,1713
12,trec_coarse,"In the above data, is label 'human being' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: human being is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: human being is more common than location,1,TRUE,more common,high,54.68434787,707,1240,1947
13,trec_coarse,"In the above data, is label 'human being' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: human being is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['less common than'],Answer: human being is less common than description and abstract concept,1,TRUE,less common,high,80.77967,713,2178,2891
14,trec_coarse,"In the above data, is label 'numeric value' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: numeric value is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: numeric value is more common than location,1,TRUE,more common,high,122.16875076293945,707,3098,3805
15,trec_coarse,"In the above data, is label 'numeric value' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: numeric value is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['less common than'],Answer: numeric value is less common than description and abstract concept,1,TRUE,less common,high,52.10378909111023,713,1202,1915
16,trec_coarse,"In the above data, is label 'location' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: location is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['less common than'],Answer: location is less common than description and abstract concept,1,TRUE,less common,high,57.07015824317932,711,1234,1945
17,trec_coarse,"In the above data, how many data points should be classified as label 'abbreviation'? Give your final answer in the form 'Answer: number'.",[4],Answer: 0,0.31640625,FALSE,0,vhigh,263.8759059906006,672,6075,6747
18,trec_coarse,"In the above data, how many data points should be classified as label 'entity'? Give your final answer in the form 'Answer: number'.",[3],Answer: 3,1,TRUE,3,vhigh,337.73916816711426,671,6492,7163
19,trec_coarse,"In the above data, how many data points should be classified as label 'human being'? Give your final answer in the form 'Answer: number'.",[2],Answer: 2,1,TRUE,2,vhigh,183.33790278434753,672,4079,4751
