sample_id,dataset,question,gold_answer,rlm_response,score,correct,extracted_answer,parse_confidence,execution_time,input_tokens,output_tokens,total_tokens
0,trec_coarse,"In the above data, which of the labels is the most common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['abbreviation'],Label: abbreviation,1,TRUE,abbreviation,vhigh,96.64669704,3410,2198,5608
1,trec_coarse,"In the above data, which of the labels is the least common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['location'],Label: abbreviation,0,FALSE,abbreviation,vhigh,45.0934015,3396,1195,4591
2,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'entity'? Give your final answer in the form 'Answer: abbreviation is [X] entity', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as entity,0,FALSE,same frequency,high,53.65690621,2708,1488,4196
3,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: abbreviation is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as human being,0,FALSE,same frequency,high,28.55547971,2710,739,3449
4,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: abbreviation is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as numeric value,0,FALSE,same frequency,high,35.45203412,2710,869,3579
5,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: abbreviation is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as location,0,FALSE,same frequency,high,30.61535558,2708,710,3418
6,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: abbreviation is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is less common than description and abstract concept,0,FALSE,less common,high,199.9602774,5353,4961,10314
7,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: entity is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is same frequency as human being,0,FALSE,same frequency,high,140.5426916,2825,3518,6343
8,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: entity is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is same frequency as numeric value,0,FALSE,same frequency,high,36.006895,2708,849,3557
9,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: entity is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is same frequency as location,0,FALSE,same frequency,high,39.929493,2706,935,3641
