sample_id,dataset,question,gold_answer,rlm_response,score,correct,extracted_answer,parse_confidence,execution_time,input_tokens,output_tokens,total_tokens
0,trec_coarse,"In the above data, which of the labels is the most common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['abbreviation'],Label: description and abstract concept,0,FALSE,description and abstract concept,high,171.0243727,33597,5390,38987
1,trec_coarse,"In the above data, which of the labels is the least common? Give your final answer in the form 'Label: answer' where answer is one of the labels: abbreviation, entity, human being, numeric value, location, description and abstract concept.",['location'],Label: location,1,TRUE,location,vhigh,661.8292316670413,87074,36671,123745
2,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'entity'? Give your final answer in the form 'Answer: abbreviation is [X] entity', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as entity,0,FALSE,same frequency,high,268.5062232919736,48297,7695,55992
3,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: abbreviation is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is more common than human being,1,TRUE,more common,high,328.4564499,58307,7849,66156
4,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: abbreviation is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is same frequency as numeric value,0,FALSE,same frequency,high,51.863204166991636,12769,1312,14081
5,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: abbreviation is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is more common than location,1,TRUE,more common,high,234.97349845804274,63872,10084,73956
6,trec_coarse,"In the above data, is label 'abbreviation' more common, less common, or the same frequency as label 'description and abstract concept'? Give your final answer in the form 'Answer: abbreviation is [X] description and abstract concept', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: abbreviation is less common than description and abstract concept,0,FALSE,less common,high,308.24956024996936,69850,10619,80469
7,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'human being'? Give your final answer in the form 'Answer: entity is [X] human being', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is same frequency as human being,0,FALSE,same frequency,high,30.589210500009358,5924,731,6655
8,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'numeric value'? Give your final answer in the form 'Answer: entity is [X] numeric value', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is more common than numeric value,1,TRUE,more common,high,170.70652008301113,36841,6018,42859
9,trec_coarse,"In the above data, is label 'entity' more common, less common, or the same frequency as label 'location'? Give your final answer in the form 'Answer: entity is [X] location', where [X] is 'more common than', 'less common than', or 'same frequency as'.",['more common than'],Answer: entity is more common than location,1,TRUE,more common,high,283.2094209159841,29895,8615,38510
